savename=baselines_gpt; dataset=imagenetv2; mode=gpt_descriptions; model_size=ViT-L/14,69.72000002861023,0.0,69.72000002861023,69.72000002861023,90.82000255584717,0.0,90.82000255584717,90.82000255584717
savename=baselines_gpt; dataset=imagenet; mode=gpt_descriptions; model_size=ViT-L/14,75.2560019493103,0.0,75.2560019493103,75.2560019493103,94.60999965667725,0.0,94.60999965667725,94.60999965667725
savename=baselines_gpt; dataset=cub; mode=gpt_descriptions; model_size=ViT-L/14,63.531237840652466,0.0,63.531237840652466,63.531237840652466,92.49223470687866,0.0,92.49223470687866,92.49223470687866
savename=baselines_gpt; dataset=eurosat; mode=gpt_descriptions; model_size=ViT-L/14,58.718520402908325,0.0,58.718520402908325,58.718520402908325,95.34074068069458,0.0,95.34074068069458,95.34074068069458
savename=baselines_gpt; dataset=places365; mode=gpt_descriptions; model_size=ViT-L/14,42.59726107120514,0.0,42.59726107120514,42.59726107120514,70.99999785423279,0.0,70.99999785423279,70.99999785423279
savename=baselines_gpt; dataset=food101; mode=gpt_descriptions; model_size=ViT-L/14,92.80791878700256,0.0,92.80791878700256,92.80791878700256,99.25148487091064,0.0,99.25148487091064,99.25148487091064
savename=baselines_gpt; dataset=pets; mode=gpt_descriptions; model_size=ViT-L/14,93.89479160308838,0.0,93.89479160308838,93.89479160308838,99.86372590065002,0.0,99.86372590065002,99.86372590065002
savename=baselines_gpt; dataset=dtd; mode=gpt_descriptions; model_size=ViT-L/14,56.59574270248413,0.0,56.59574270248413,56.59574270248413,84.8936140537262,0.0,84.8936140537262,84.8936140537262
savename=baselines_gpt; dataset=imagenetv2; mode=gpt_descriptions; model_size=ViT-B/32,55.7699978351593,0.0,55.7699978351593,55.7699978351593,82.78999924659729,0.0,82.78999924659729,82.78999924659729
savename=baselines_gpt; dataset=imagenet; mode=gpt_descriptions; model_size=ViT-B/32,63.11600208282471,0.0,63.11600208282471,63.11600208282471,88.4660005569458,0.0,88.4660005569458,88.4660005569458
savename=baselines_gpt; dataset=cub; mode=gpt_descriptions; model_size=ViT-B/32,52.46807336807251,0.0,52.46807336807251,52.46807336807251,84.6392810344696,0.0,84.6392810344696,84.6392810344696
savename=baselines_gpt; dataset=eurosat; mode=gpt_descriptions; model_size=ViT-B/32,43.296295404434204,0.0,43.296295404434204,43.296295404434204,85.58889031410217,0.0,85.58889031410217,85.58889031410217
savename=baselines_gpt; dataset=places365; mode=gpt_descriptions; model_size=ViT-B/32,40.45479595661163,0.0,40.45479595661163,40.45479595661163,71.68493270874023,0.0,71.68493270874023,71.68493270874023
savename=baselines_gpt; dataset=food101; mode=gpt_descriptions; model_size=ViT-B/32,82.79207944869995,0.0,82.79207944869995,82.79207944869995,96.81980013847351,0.0,96.81980013847351,96.81980013847351
savename=baselines_gpt; dataset=pets; mode=gpt_descriptions; model_size=ViT-B/32,86.53584122657776,0.0,86.53584122657776,86.53584122657776,99.42763447761536,0.0,99.42763447761536,99.42763447761536
savename=baselines_gpt; dataset=dtd; mode=gpt_descriptions; model_size=ViT-B/32,43.989360332489014,0.0,43.989360332489014,43.989360332489014,76.80851221084595,0.0,76.80851221084595,76.80851221084595
savename=baselines_gpt; dataset=imagenetv2; mode=gpt_descriptions; model_size=RN50,52.64999866485596,0.0,52.64999866485596,52.64999866485596,81.04000091552734,0.0,81.04000091552734,81.04000091552734
savename=baselines_gpt; dataset=imagenet; mode=gpt_descriptions; model_size=RN50,59.67000126838684,0.0,59.67000126838684,59.67000126838684,86.2119972705841,0.0,86.2119972705841,86.2119972705841
savename=baselines_gpt; dataset=cub; mode=gpt_descriptions; model_size=RN50,47.7908194065094,0.0,47.7908194065094,47.7908194065094,81.91232085227966,0.0,81.91232085227966,81.91232085227966
savename=baselines_gpt; dataset=eurosat; mode=gpt_descriptions; model_size=RN50,34.340742230415344,0.0,34.340742230415344,34.340742230415344,78.9222240447998,0.0,78.9222240447998,78.9222240447998
savename=baselines_gpt; dataset=places365; mode=gpt_descriptions; model_size=RN50,38.394519686698914,0.0,38.394519686698914,38.394519686698914,69.87397074699402,0.0,69.87397074699402,69.87397074699402
savename=baselines_gpt; dataset=food101; mode=gpt_descriptions; model_size=RN50,78.57029438018799,0.0,78.57029438018799,78.57029438018799,95.51287293434143,0.0,95.51287293434143,95.51287293434143
savename=baselines_gpt; dataset=pets; mode=gpt_descriptions; model_size=RN50,85.71817874908447,0.0,85.71817874908447,85.71817874908447,99.45489168167114,0.0,99.45489168167114,99.45489168167114
savename=baselines_gpt; dataset=dtd; mode=gpt_descriptions; model_size=RN50,41.0638302564621,0.0,41.0638302564621,41.0638302564621,73.1382966041565,0.0,73.1382966041565,73.1382966041565
