savename=randomized_descriptions; dataset=imagenetv2; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,68.01285658563886,0.2193963268489544,68.3899998664856,67.71000027656555,90.32857077462333,0.09493327231840444,90.47999978065491,90.17999768257141
savename=randomized_descriptions; dataset=imagenet; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,73.88914227485657,0.07857203555022833,74.02600049972534,73.76599907875061,93.95914162908282,0.05285970342949365,94.05199885368347,93.90599727630615
savename=randomized_descriptions; dataset=cub; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,63.80492108208792,0.2185929834409417,64.10079598426819,63.444942235946655,92.48237098966327,0.2328134540709102,92.88919568061829,92.1643078327179
savename=randomized_descriptions; dataset=eurosat; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,55.72486775262015,2.011813421650593,59.84814763069153,53.36666703224182,92.08783081599644,1.52697489626368,94.9222207069397,89.99629616737366
savename=randomized_descriptions; dataset=places365; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,40.317025780677795,0.29408955281163046,40.68219065666199,39.89863097667694,68.69275995663234,0.3009473253902193,68.98903846740723,68.04657578468323
savename=randomized_descriptions; dataset=food101; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,92.37397398267474,0.3065294934006108,92.68910884857178,91.79009795188904,99.22885383878436,0.024662279235043542,99.26732778549194,99.19207692146301
savename=randomized_descriptions; dataset=pets; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,93.59887838363647,0.18794648230810387,93.78577470779419,93.21340918540955,99.83646869659424,0.025235267378448712,99.86372590065002,99.80921149253845
savename=randomized_descriptions; dataset=dtd; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,52.83434731619699,0.46171695188412815,53.67021560668945,52.1276593208313,80.55471096720014,0.6050470722772221,81.17021322250366,79.41489219665527
savename=randomized_descriptions; dataset=imagenetv2; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,54.11285758018494,0.25443075157742867,54.57000136375427,53.860002756118774,81.80571453911918,0.10795106592896152,81.95000290870667,81.62999749183655
savename=randomized_descriptions; dataset=imagenet; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,61.37514284678868,0.1815740671374845,61.580002307891846,61.02399826049805,87.59257112230573,0.08156938606804462,87.68200278282166,87.44199872016907
savename=randomized_descriptions; dataset=cub; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,52.418759039470125,0.18735341298914965,52.67518162727356,52.105629444122314,84.31875279971531,0.3232676351339853,84.88091230392456,83.93165469169617
savename=randomized_descriptions; dataset=eurosat; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,36.825925537518096,4.263402585377881,43.655556440353394,31.437036395072937,85.45026438576835,2.7148114617949304,87.36666440963745,80.67407608032227
savename=randomized_descriptions; dataset=places365; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,38.80117450441633,0.2550864336073194,39.260274171829224,38.37534189224243,69.27906019347054,0.2853654529515133,69.75616216659546,68.88766884803772
savename=randomized_descriptions; dataset=food101; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,82.86393114498684,0.2260587673820239,83.18019509315491,82.47524499893188,96.97595408984593,0.04509906444966285,97.04158306121826,96.89108729362488
savename=randomized_descriptions; dataset=pets; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,85.947904416493,0.6132421395387265,86.7811381816864,84.87326502799988,98.36078371320453,0.3808603899183583,98.88253211975098,97.76505827903748
savename=randomized_descriptions; dataset=dtd; mode=random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,42.19604858330318,0.8528255901137699,43.191489577293396,40.95744788646698,72.5379935332707,1.4938916491554117,74.84042644500732,70.79787254333496
savename=randomized_descriptions; dataset=imagenetv2; mode=random_descriptions; randomization_budget=1; reps=7; model_size=RN50,51.60714217594692,0.28277859802448757,52.00999975204468,51.179999113082886,79.83714171818325,0.1271337780463577,79.97999787330627,79.60000038146973
savename=randomized_descriptions; dataset=imagenet; mode=random_descriptions; randomization_budget=1; reps=7; model_size=RN50,58.29628535679409,0.1581974838562844,58.50200057029724,58.01200270652771,85.2817143712725,0.12616139627969633,85.46599745750427,85.11800169944763
savename=randomized_descriptions; dataset=cub; mode=random_descriptions; randomization_budget=1; reps=7; model_size=RN50,47.39632138184139,0.24796192958302954,47.7217823266983,47.048670053482056,81.47098081452506,0.35763986009488546,82.08491802215576,80.99758625030518
savename=randomized_descriptions; dataset=eurosat; mode=random_descriptions; randomization_budget=1; reps=7; model_size=RN50,30.18095280442919,4.158255407977126,34.559258818626404,24.040740728378296,76.57248633248466,4.768356818304938,80.97407221794128,68.59999895095825
savename=randomized_descriptions; dataset=places365; mode=random_descriptions; randomization_budget=1; reps=7; model_size=RN50,36.815655657223296,0.27056919892080233,37.34520673751831,36.45205497741699,67.53072312899998,0.32043130188758867,68.0054783821106,66.92602634429932
savename=randomized_descriptions; dataset=food101; mode=random_descriptions; randomization_budget=1; reps=7; model_size=RN50,78.86449779782977,0.24264050377480897,79.33465242385864,78.5663366317749,96.06393149920872,0.10084628190565298,96.27722501754761,95.96039652824402
savename=randomized_descriptions; dataset=pets; mode=random_descriptions; randomization_budget=1; reps=7; model_size=RN50,84.53841039112636,0.16846447589818303,84.76424217224121,84.21913385391235,98.76961367470878,0.4082928501497086,99.2641031742096,97.84682393074036
savename=randomized_descriptions; dataset=dtd; mode=random_descriptions; randomization_budget=1; reps=7; model_size=RN50,38.90577554702759,0.860442425432337,40.21276533603668,37.76595890522003,69.54407266208104,1.8098186248092942,72.34042286872864,67.34042763710022
