savename=randomized_descriptions_5xbudget; dataset=imagenetv2; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,69.27428671291896,0.1724489880875345,69.55000162124634,69.0500020980835,91.01857117244175,0.06854123210689575,91.10999703407288,90.88000059127808
savename=randomized_descriptions_5xbudget; dataset=imagenet; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,75.10514259338379,0.0828608422934236,75.19599795341492,74.96600151062012,94.58400181361607,0.06628082057783422,94.70800161361694,94.49800252914429
savename=randomized_descriptions_5xbudget; dataset=cub; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,64.25366231373378,0.16280405518555277,64.53227400779724,64.03175592422485,92.59578841073173,0.07663359405860674,92.68208742141724,92.47497320175171
savename=randomized_descriptions_5xbudget; dataset=eurosat; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,58.335449014391216,1.5457922302046065,60.66666841506958,56.44444227218628,95.00052843775067,0.45911249248036506,95.68148255348206,94.47407126426697
savename=randomized_descriptions_5xbudget; dataset=places365; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,42.106849380901885,0.14323106982643002,42.30958819389343,41.83835685253143,70.65479414803642,0.1289967586589501,70.8164393901825,70.46301364898682
savename=randomized_descriptions_5xbudget; dataset=food101; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,93.22093384606498,0.11549666556572105,93.37029457092285,93.04158687591553,99.34653384344918,0.010370646804275073,99.36237335205078,99.33069348335266
savename=randomized_descriptions_5xbudget; dataset=pets; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,93.87921946389335,0.08844692056946543,94.05832886695862,93.78577470779419,99.83257481030056,0.009538034535942309,99.83646869659424,99.80921149253845
savename=randomized_descriptions_5xbudget; dataset=dtd; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-L/14,55.281154598508564,0.23048121746170872,55.58510422706604,54.89361882209778,81.85410244124276,0.4362522186373555,82.4999988079071,81.22340440750122
savename=randomized_descriptions_5xbudget; dataset=imagenetv2; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-B/32,55.38857153483799,0.11993254343291275,55.61000108718872,55.16999959945679,82.6914301940373,0.11897548172857365,82.84000158309937,82.4400007724762
savename=randomized_descriptions_5xbudget; dataset=imagenet; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-B/32,62.81428507396153,0.05037540513383202,62.9040002822876,62.74399757385254,88.37828465870449,0.03661969836303258,88.42399716377258,88.3080005645752
savename=randomized_descriptions_5xbudget; dataset=cub; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-B/32,52.665319613048005,0.16831250765303213,52.88228988647461,52.34725475311279,84.5825731754303,0.14193826455483155,84.82913374900818,84.4149112701416
savename=randomized_descriptions_5xbudget; dataset=eurosat; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-B/32,38.56984121458871,1.5176437145538342,40.33703804016113,36.040741205215454,88.68042315755572,0.8014705232328314,90.21852016448975,87.84444332122803
savename=randomized_descriptions_5xbudget; dataset=places365; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-B/32,40.539335353033884,0.053656374275673616,40.63013792037964,40.43287634849548,71.1698625768934,0.07455830412870065,71.28493189811707,71.09314799308777
savename=randomized_descriptions_5xbudget; dataset=food101; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-B/32,84.02828914778573,0.11371385176099083,84.16237831115723,83.83762240409851,97.28090592793056,0.03610217966879127,97.31088876724243,97.19604253768921
savename=randomized_descriptions_5xbudget; dataset=pets; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-B/32,86.7733529635838,0.22836716668256388,87.1082067489624,86.45407557487488,98.34520816802979,0.20013348777553192,98.63722920417786,98.0376124382019
savename=randomized_descriptions_5xbudget; dataset=dtd; mode=random_descriptions; randomization_budget=5; reps=7; model_size=ViT-B/32,43.41185390949249,0.7367293254849496,44.946807622909546,42.65957474708557,74.55167259488788,0.9251809378000958,76.17021203041077,73.51064085960388
savename=randomized_descriptions_5xbudget; dataset=imagenetv2; mode=random_descriptions; randomization_budget=5; reps=7; model_size=RN50,52.810001373291016,0.07837591543386833,52.890002727508545,52.640002965927124,80.66714235714504,0.08101421242399832,80.77999949455261,80.51999807357788
