savename=shared_randomized_descriptions; dataset=imagenetv2; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,69.26714267049518,0.22764070216131602,69.6399986743927,68.98999810218811,90.95714347703117,0.14800680326984098,91.15999937057495,90.72999954223633
savename=shared_randomized_descriptions; dataset=imagenet; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,75.04571420805794,0.15066491398832618,75.2340018749237,74.83400106430054,94.53657184328351,0.11099420072289347,94.67800259590149,94.38400268554688
savename=shared_randomized_descriptions; dataset=cub; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,64.21174577304295,0.3613089768757362,64.5495355129242,63.3759081363678,92.61797836848667,0.09212312223238966,92.7511215209961,92.47497320175171
savename=shared_randomized_descriptions; dataset=eurosat; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,57.5941801071167,1.7229024822358987,59.32962894439697,54.64444160461426,93.23227490697589,0.7761561498162296,94.41481232643127,91.98889136314392
savename=shared_randomized_descriptions; dataset=places365; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,42.01330712863377,0.22863905806047535,42.33972728252411,41.67945086956024,70.59726119041443,0.32543360550816686,71.0301399230957,70.06301283836365
savename=shared_randomized_descriptions; dataset=food101; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,93.15247535705566,0.12641469294304794,93.29109191894531,92.9663360118866,99.32164038930621,0.013000219624615129,99.34653639793396,99.30297136306763
savename=shared_randomized_descriptions; dataset=pets; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,93.9687728881836,0.2188756169804374,94.38539147377014,93.7585175037384,99.8442564691816,0.012313549637751919,99.86372590065002,99.83646869659424
savename=shared_randomized_descriptions; dataset=dtd; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-L/14,55.15957474708557,0.4740583550130511,55.79787492752075,54.57446575164795,81.75531881196159,0.6344874716625984,82.4999988079071,80.3723394870758
savename=shared_randomized_descriptions; dataset=imagenetv2; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,55.450000933238435,0.2441897628052917,55.809998512268066,55.16999959945679,82.7171436377934,0.145377320130409,82.9800009727478,82.51000046730042
savename=shared_randomized_descriptions; dataset=imagenet; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,62.89257236889431,0.18634347568198825,63.13599944114685,62.50200271606445,88.41971414429801,0.1557928088649277,88.63199949264526,88.13999891281128
savename=shared_randomized_descriptions; dataset=cub; mode=shared_random_descriptions; randomization_budget=1; reps=7; model_size=ViT-B/32,52.64066202299936,0.2719545739772088,52.96858549118042,52.226442098617554,84.3951872416905,0.16820403857250946,84.60476398468018,84.01795029640198
