savename=shared_randomized_descriptions_2xbudget; dataset=imagenetv2; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,69.58142944744655,0.21155309864778946,69.9999988079071,69.34000253677368,91.15571464811053,0.1283813450882656,91.36000275611877,90.97999930381775
savename=shared_randomized_descriptions_2xbudget; dataset=imagenet; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,75.30228580747333,0.15774630110498036,75.51000118255615,75.05999803543091,94.68285696847099,0.09192558837648286,94.82200145721436,94.57399845123291
savename=shared_randomized_descriptions_2xbudget; dataset=cub; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,64.30297323635646,0.26235171061034906,64.79116082191467,63.89368176460266,92.65003204345703,0.05088948280675932,92.7511215209961,92.57853031158447
savename=shared_randomized_descriptions_2xbudget; dataset=eurosat; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,59.31957619530814,1.6265101425204909,61.72592639923096,57.08518624305725,94.07090033803668,1.2136918404015073,95.70000171661377,92.55926012992859
savename=shared_randomized_descriptions_2xbudget; dataset=places365; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,42.28375724383763,0.17006440559033592,42.45205521583557,41.98904037475586,70.84853393690926,0.22143526805386562,71.0986316204071,70.35616636276245
savename=shared_randomized_descriptions_2xbudget; dataset=food101; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,93.30862930842808,0.05458419344984198,93.37425827980042,93.21980476379395,99.3431397846767,0.016860465057457634,99.36633706092834,99.31485056877136
savename=shared_randomized_descriptions_2xbudget; dataset=pets; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,94.03885858399528,0.10776203548975999,94.24911141395569,93.92204880714417,99.84036258288792,0.00953803453594231,99.86372590065002,99.83646869659424
savename=shared_randomized_descriptions_2xbudget; dataset=dtd; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-L/14,55.31154956136431,0.5017515223163613,56.010639667510986,54.680848121643066,82.21124580928257,0.5210576842658505,82.81915187835693,81.22340440750122
savename=shared_randomized_descriptions_2xbudget; dataset=imagenetv2; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,55.73142766952515,0.2357014562953907,56.16999864578247,55.44999837875366,82.78999924659729,0.2048696262962945,83.10999870300293,82.4899971485138
savename=shared_randomized_descriptions_2xbudget; dataset=imagenet; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,63.11114345278059,0.1940561014077392,63.47000002861023,62.84000277519226,88.53514279638019,0.10982496558589953,88.75399827957153,88.39799761772156
savename=shared_randomized_descriptions_2xbudget; dataset=cub; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,52.731889486312866,0.23333504732558966,53.158438205718994,52.485328912734985,84.41491212163653,0.13014025107657543,84.5529854297638,84.20780301094055
savename=shared_randomized_descriptions_2xbudget; dataset=eurosat; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,39.730688078062876,1.660775840777876,42.540740966796875,37.81111240386963,88.94708922931126,0.9380394543095514,89.89259004592896,87.54814863204956
savename=shared_randomized_descriptions_2xbudget; dataset=places365; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,40.60978463717869,0.2201583657989829,40.81917703151703,40.12876749038696,71.34168233190265,0.29961615784697093,71.60547971725464,70.65205574035645
savename=shared_randomized_descriptions_2xbudget; dataset=food101; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,84.01470950671604,0.23173875765215182,84.25742387771606,83.48515033721924,97.24130204745701,0.08745774963239765,97.35049605369568,97.05346822738647
savename=shared_randomized_descriptions_2xbudget; dataset=pets; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,87.10820419447762,0.12616805941982762,87.32624650001526,86.97192668914795,98.78908225468227,0.33280877918803026,99.31861758232117,98.39193224906921
savename=shared_randomized_descriptions_2xbudget; dataset=dtd; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=ViT-B/32,43.2902740580695,0.21733026574455688,43.563830852508545,43.03191602230072,75.02279707363674,0.4815483325991365,75.90425610542297,74.57447052001953
savename=shared_randomized_descriptions_2xbudget; dataset=imagenetv2; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,52.918572085244314,0.2222889128020536,53.380000591278076,52.71000266075134,80.74142762592861,0.13881523375871038,80.97000122070312,80.54999709129333
savename=shared_randomized_descriptions_2xbudget; dataset=imagenet; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,59.891713517052786,0.2561480404202325,60.41399836540222,59.564000368118286,86.22114317757743,0.14651078402877882,86.48800253868103,86.04999780654907
savename=shared_randomized_descriptions_2xbudget; dataset=cub; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,47.66753784247807,0.3310166426349245,48.239558935165405,47.20400273799896,81.99861815997532,0.18588735429942213,82.36106038093567,81.68795108795166
savename=shared_randomized_descriptions_2xbudget; dataset=eurosat; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,34.3624336378915,1.2872968884160392,36.14444434642792,32.19999969005585,77.68359695162091,1.882666713199164,80.3074061870575,74.85555410385132
savename=shared_randomized_descriptions_2xbudget; dataset=places365; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,38.93307277134487,0.2103442066201785,39.24109637737274,38.671234250068665,69.76203492709568,0.23599540288367132,70.0465738773346,69.28766965866089
savename=shared_randomized_descriptions_2xbudget; dataset=food101; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,80.1120230129787,0.30431999117190267,80.47524690628052,79.44950461387634,96.44978727613177,0.12852047017460874,96.53465151786804,96.13861441612244
savename=shared_randomized_descriptions_2xbudget; dataset=pets; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,85.34049817493984,0.3265541461896925,85.71817874908447,84.73698496818542,99.29525426455906,0.14380205956458872,99.40038323402405,98.99154901504517
savename=shared_randomized_descriptions_2xbudget; dataset=dtd; mode=shared_random_descriptions; randomization_budget=2; reps=7; model_size=RN50,40.8814583505903,0.779607325859842,42.07446873188019,39.68085050582886,71.32218905857631,0.44269050959064726,71.91489338874817,70.69149017333984
