savename=waffleclip_gpt; dataset=imagenetv2; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,69.79571495737348,0.12926740447306884,69.9999988079071,69.63000297546387,90.97000019890922,0.06141174959094123,91.06000065803528,90.85000157356262
savename=waffleclip_gpt; dataset=imagenet; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,75.56685635021755,0.059231058197767326,75.66999793052673,75.5079984664917,94.72314289637974,0.02481536836391397,94.75799798965454,94.67599987983704
savename=waffleclip_gpt; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,64.31283695357186,0.2105176288826397,64.60131406784058,63.85916471481323,92.41826363972255,0.1287319286126968,92.69934296607971,92.2506034374237
savename=waffleclip_gpt; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,60.626983642578125,1.2255827505053347,62.12962865829468,58.585184812545776,96.19894112859454,0.2898816218897112,96.83333039283752,95.87777853012085
savename=waffleclip_gpt; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,42.96007880142757,0.12013691975412566,43.12602877616882,42.73424744606018,71.47945250783648,0.07159445916960167,71.56986594200134,71.3835597038269
savename=waffleclip_gpt; dataset=food101; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,93.2758126940046,0.07607426457773844,93.3782160282135,93.12871098518372,99.34031111853463,0.01903462198551041,99.37029480934143,99.31089282035828
savename=waffleclip_gpt; dataset=pets; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,93.35357972553798,0.21727695033205005,93.59498620033264,92.94085502624512,99.87151026725769,0.024000764602674817,99.89097714424133,99.83646869659424
savename=waffleclip_gpt; dataset=dtd; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14,56.32978677749634,0.4217156800016994,56.8617045879364,55.53191304206848,83.22948302541461,0.3287735428149408,83.56382846832275,82.55318999290466
savename=waffleclip_gpt; dataset=imagenetv2; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,56.071427890232634,0.11703799629275702,56.269997358322144,55.889999866485596,83.18142890930176,0.10762743247941656,83.35999846458435,83.03999900817871
savename=waffleclip_gpt; dataset=imagenet; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,63.443429129464285,0.06454929764837977,63.50200176239014,63.32600116729736,88.7311441557748,0.06024605179179673,88.84000182151794,88.63800168037415
savename=waffleclip_gpt; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,52.71709731646946,0.16291662217422562,53.003108501434326,52.46807336807251,84.42477413586208,0.1626556818396583,84.70832109451294,84.17328000068665
savename=waffleclip_gpt; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,44.96772459575108,0.8259557195958475,46.45926058292389,43.87407302856445,89.25132240567889,0.47184646438219974,89.65555429458618,88.34444284439087
savename=waffleclip_gpt; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,41.09863042831421,0.06586725423827011,41.178083419799805,40.989041328430176,72.12093983377729,0.10183334683455673,72.28767275810242,71.93424701690674
savename=waffleclip_gpt; dataset=food101; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,83.30127426556179,0.0947387274515462,83.41386318206787,83.13663601875305,96.9753886972155,0.05963972599285075,97.04950451850891,96.87920808792114
savename=waffleclip_gpt; dataset=pets; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,86.14647814205715,0.156036447433207,86.34505271911621,85.90896725654602,97.51197269984654,0.14103296905467513,97.73780107498169,97.35623002052307
savename=waffleclip_gpt; dataset=dtd; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32,43.662614481789724,0.35786976455770425,44.20212805271149,43.13829839229584,76.20060869625637,0.45920728487455403,76.75532102584839,75.53191781044006
savename=waffleclip_gpt; dataset=imagenetv2; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,52.89285693849836,0.14389637874904107,53.109997510910034,52.64999866485596,81.1614283493587,0.08724787922898508,81.33999705314636,81.0699999332428
savename=waffleclip_gpt; dataset=imagenet; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,60.09857143674578,0.03927583489960801,60.15999913215637,60.04199981689453,86.38257043702262,0.042838151709160326,86.42799854278564,86.30200028419495
savename=waffleclip_gpt; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,47.75876488004412,0.1855273338635194,47.99792766571045,47.428375482559204,82.0060167993818,0.11141682109646271,82.24024772644043,81.87780380249023
savename=waffleclip_gpt; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,35.922751256397795,0.41775851901937383,36.629629135131836,35.08518636226654,80.1037039075579,0.408564160921435,80.53333163261414,79.4703722000122
savename=waffleclip_gpt; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,38.893150857516694,0.10206044015742341,39.12328779697418,38.82191777229309,70.14872772353036,0.060232898021218804,70.2602744102478,70.08219361305237
savename=waffleclip_gpt; dataset=food101; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,79.34936370168414,0.06965676327049432,79.44950461387634,79.25544381141663,96.0288541657584,0.061925622142267066,96.11881375312805,95.93663215637207
savename=waffleclip_gpt; dataset=pets; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,85.10688117572239,0.17105368871135357,85.36385893821716,84.76424217224121,98.21282540048871,0.19264427707928136,98.52820634841919,97.90133833885193
savename=waffleclip_gpt; dataset=dtd; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50,40.85106338773455,0.28573880323077533,41.32978618144989,40.3191477060318,72.34802416392735,0.342873658782746,72.81914949417114,71.96808457374573
