savename=waffleclip_gpt_concepts; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a bird: a ,63.136742796216694,0.16017043917192275,63.42768669128418,62.96168565750122,92.87440180778503,0.07631413457942725,93.01000833511353,92.78563857078552
savename=waffleclip_gpt_concepts; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a land use: a ,61.82486755507333,1.0679728773544854,63.14444541931152,59.740740060806274,96.52433906282697,0.2163323865715947,96.8925952911377,96.20370268821716
savename=waffleclip_gpt_concepts; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a place: a ,42.94833626065935,0.08600948191591506,43.05753409862518,42.80821979045868,71.18316973958697,0.101737746567651,71.32054567337036,71.01370096206665
savename=waffleclip_gpt_concepts; dataset=food101; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a food: a ,93.4947669506073,0.03838926388749175,93.53267550468445,93.4099018573761,99.34936250959124,0.012291350040940131,99.36237335205078,99.3267297744751
savename=waffleclip_gpt_concepts; dataset=pets; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-L/14; label_before_text=A photo of a breed: a ,94.1167312008994,0.08671480981779288,94.27636861801147,94.00381445884705,99.89876576832363,0.019074504825709958,99.91823434829712,99.86372590065002
savename=waffleclip_gpt_concepts; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a bird: a ,52.76394316128322,0.2525525911144023,53.17569971084595,52.46807336807251,85.47265614782062,0.08689394138822988,85.60580015182495,85.31239032745361
savename=waffleclip_gpt_concepts; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a land use: a ,51.63809486797878,0.2446667157394112,51.97407603263855,51.366668939590454,90.85185272353036,0.40125175691294585,91.3777768611908,90.18148183822632
savename=waffleclip_gpt_concepts; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a place: a ,41.34794431073325,0.09110232050718331,41.50137007236481,41.23835563659668,71.78121379443577,0.0900661249665932,71.92876935005188,71.6794490814209
savename=waffleclip_gpt_concepts; dataset=food101; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a food: a ,84.87298488616943,0.05057801373729727,84.95049476623535,84.80396270751953,97.61131490979876,0.030341635956194157,97.65148758888245,97.56831526756287
savename=waffleclip_gpt_concepts; dataset=pets; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=ViT-B/32; label_before_text=A photo of a breed: a ,87.68835323197501,0.1483679680414914,87.87135481834412,87.38075494766235,99.36533910887582,0.049862484934450044,99.45489168167114,99.29136037826538
savename=waffleclip_gpt_concepts; dataset=cub; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a bird: a ,48.431875876017976,0.23200237659448072,48.912668228149414,48.153263330459595,81.8038352898189,0.1419396401403567,82.08491802215576,81.63617253303528
savename=waffleclip_gpt_concepts; dataset=eurosat; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a land use: a ,37.359258958271575,0.6005609636243774,38.059258460998535,36.407408118247986,83.68201170648847,0.9698436837832175,85.39259433746338,82.31852054595947
savename=waffleclip_gpt_concepts; dataset=places365; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a place: a ,39.43444234984262,0.06183399189869141,39.52876627445221,39.33972716331482,70.72054828916278,0.08135355634847152,70.8493173122406,70.62191963195801
savename=waffleclip_gpt_concepts; dataset=food101; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a food: a ,81.17058021681649,0.08239210718985283,81.29900693893433,81.02574348449707,96.73946244376046,0.02700371384345886,96.78019881248474,96.70494794845581
savename=waffleclip_gpt_concepts; dataset=pets; mode=waffle_and_gpt; waffle_count=15; reps=7; model_size=RN50; label_before_text=A photo of a breed: a ,85.80383913857597,0.18337305438112456,86.01799011230469,85.47288179397583,98.9487213747842,0.11458018794127695,99.15508031845093,98.77350926399231
